gameId,week,nflPlayId,nflPlayType,nflPlayDescription,nflPlayUrl,quarter,down,yardsToGo,gameClock,yardsToGoal,isGoalToGo,isRedzone,possessionTeamId,offScore,defScore,expectedPointsAdded,offN,offRB,offTE,offWR,offOL,defN,defDL,defLB,defDB,offensePlayer1,offensePlayer2,offensePlayer3,offensePlayer4,offensePlayer5,offensePlayer6,offensePlayer7,offensePlayer8,offensePlayer9,offensePlayer10,offensePlayer11,defensePlayer1,defensePlayer2,defensePlayer3,defensePlayer4,defensePlayer5,defensePlayer6,defensePlayer7,defensePlayer8,defensePlayer9,defensePlayer10,defensePlayer11
2026001,0,1,GAME_START,GAME,https://pro.nfl.com/api/plays/summaryPlay?gameId=c66cf251-5f68-11f1-b1d0-bb70a4640075&playId=1,1,0,0,,,False,,0750,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026001,0,40,KICK_OFF,C.Ryland kicks 67 yards from AZ 35 to CAR -2. A.Tyus to CAR 25 for 27 yards (I.Oliver).,https://pro.nfl.com/api/plays/summaryPlay?gameId=c66cf251-5f68-11f1-b1d0-bb70a4640075&playId=40,1,0,0,15:00,65.0,False,False,3800,0,0,0.01760933198966086,11,0,0,1,0,11,1,3,0,Isaiah Oliver,Simi Fehoko,BJ Ojulari,Chad Ryland,Owen Pappoe,Kei'Trel Clark,Eku Leota,Dadrion Taylor-Demerson,Kalen King,Austin Keys,Karson Sharar,David Moore,Trevis Gipson,Feleipe Franks,James Mitchell,Claudin Cherelus,Thomas Incoom,Brycen Tremayne,Ja'Tavion Sanders,Trevor Etienne,Bam Martin-Scott,Anthony Tyus III
2026001,0,63,PASS,(14:54) (Shotgun) K.Pickett pass short left to J.Sanders to CAR 31 for 6 yards (D.Taylor-Demerson).,https://pro.nfl.com/api/plays/summaryPlay?gameId=c66cf251-5f68-11f1-b1d0-bb70a4640075&playId=63,1,1,10,14:54,75.0,False,False,0750,0,0,0.13285215781070292,11,1,1,3,5,11,3,3,5,David Moore,Brady Christensen,Stone Forsythe,Kenny Pickett,John Metchie III,Chandler Zavala,Brycen Tremayne,Ja'Tavion Sanders,Trevor Etienne,Sam Hecht,Albert Reese,Andrew Billings,Jonah Williams,Zachary Carter,BJ Ojulari,Owen Pappoe,Kei'Trel Clark,Eku Leota,Elijah Jones,Dadrion Taylor-Demerson,Kalen King,Kitan Crawford
2026001,0,88,PASS,(14:14) (Shotgun) K.Pickett pass short right to J.Sanders to CAR 33 for 2 yards (K.King).,https://pro.nfl.com/api/plays/summaryPlay?gameId=c66cf251-5f68-11f1-b1d0-bb70a4640075&playId=88,1,2,4,14:14,69.0,False,False,0750,0,0,-0.4254339886829257,11,1,1,3,5,11,3,3,5,David Moore,Brady Christensen,Stone Forsythe,Kenny Pickett,John Metchie III,Chandler Zavala,Brycen Tremayne,Ja'Tavion Sanders,Trevor Etienne,Sam Hecht,Albert Reese,Andrew Billings,Jonah Williams,Zachary Carter,BJ Ojulari,Owen Pappoe,Kei'Trel Clark,Eku Leota,Elijah Jones,Dadrion Taylor-Demerson,Kalen King,Kitan Crawford
2026001,0,113,SACK,(13:35) (Shotgun) K.Pickett sacked at CAR 28 for -5 yards (A.Billings).,https://pro.nfl.com/api/plays/summaryPlay?gameId=c66cf251-5f68-11f1-b1d0-bb70a4640075&playId=113,1,3,2,13:35,67.0,False,False,0750,0,0,-2.5596265057101846,11,1,1,3,5,11,2,4,5,David Moore,Brady Christensen,Stone Forsythe,Kenny Pickett,John Metchie III,Chandler Zavala,Brycen Tremayne,Ja'Tavion Sanders,Trevor Etienne,Sam Hecht,Albert Reese,Andrew Billings,Zachary Carter,BJ Ojulari,Owen Pappoe,Kei'Trel Clark,Eku Leota,Elijah Jones,Dadrion Taylor-Demerson,Kalen King,Kitan Crawford,Austin Keys
2026001,0,133,PUNT,"(12:57) S.Martin punts 56 yards to AZ 16, Center-J.Jansen. X.Weaver to AZ 23 for 7 yards (R.Rochell). FUMBLES (R.Rochell), and recovers at AZ 23.",https://pro.nfl.com/api/plays/summaryPlay?gameId=c66cf251-5f68-11f1-b1d0-bb70a4640075&playId=133,1,4,7,12:57,72.0,False,False,0750,0,0,0.14906763471662998,11,0,1,0,0,11,0,4,5,J.J. Jansen,Sam Martin,Cam Gill,Robert Rochell,James Mitchell,Maema Njongmeta,Princely Umanmielen,Lathan Ransom,Bam Martin-Scott,Corey Thornton,Jackson Kuwatch,Isaiah Oliver,Simi Fehoko,Owen Pappoe,Kei'Trel Clark,Eku Leota,Elijah Jones,Dadrion Taylor-Demerson,Xavier Weaver,Austin Keys,Karson Sharar,Wydett Williams Jr.
2026001,0,159,PASS,(12:45) (Shotgun) C.Beck pass short left to K.Yeboah to AZ 27 for 4 yards (T.Wallace; Z.Wheatley).,https://pro.nfl.com/api/plays/summaryPlay?gameId=c66cf251-5f68-11f1-b1d0-bb70a4640075&playId=159,1,1,10,12:45,77.0,False,False,3800,0,0,-0.17598805110901594,11,1,1,3,5,11,3,3,5,Simi Fehoko,Kenny Yeboah,Bam Knight,Jon Gaines II,Jalen Brooks,Xavier Weaver,Hayden Conner,Josh Fryar,Chase Bisontis,Carson Beck,Jayden Williams,Trevis Gipson,Akayleb Evans,Claudin Cherelus,Trevin Wallace,Chau Smith-Wade,Princely Umanmielen,Lathan Ransom,Jared Harrison-Hunte,Lee Hunter,Will Lee III,Zakee Wheatley
2026001,0,184,RUSH,(12:14) Z.Knight right tackle to AZ 30 for 3 yards (W.Lee).,https://pro.nfl.com/api/plays/summaryPlay?gameId=c66cf251-5f68-11f1-b1d0-bb70a4640075&playId=184,1,2,6,12:14,73.0,False,False,3800,0,0,-0.37281846906989813,11,1,2,2,5,11,3,3,5,Simi Fehoko,Kenny Yeboah,Bam Knight,Jon Gaines II,Jalen Brooks,Hayden Conner,Josh Fryar,Chase Bisontis,Carson Beck,Jayden Williams,Jameson Geers,Trevis Gipson,Akayleb Evans,Claudin Cherelus,Trevin Wallace,Chau Smith-Wade,Princely Umanmielen,Lathan Ransom,Jared Harrison-Hunte,Lee Hunter,Will Lee III,Zakee Wheatley
2026001,0,206,RUSH,(11:40) (Shotgun) C.Beck scrambles up the middle to AZ 34 for 4 yards (T.Wallace; C.Cherelus).,https://pro.nfl.com/api/plays/summaryPlay?gameId=c66cf251-5f68-11f1-b1d0-bb70a4640075&playId=206,1,3,3,11:40,70.0,False,False,3800,0,0,1.1964536416344345,11,1,1,3,5,11,3,3,5,Simi Fehoko,Bam Knight,Jon Gaines II,Jalen Brooks,Xavier Weaver,Hayden Conner,Rivaldo Fairweather,Josh Fryar,Chase Bisontis,Carson Beck,Jayden Williams,Trevis Gipson,Akayleb Evans,Claudin Cherelus,Trevin Wallace,Chau Smith-Wade,Princely Umanmielen,Lathan Ransom,Jared Harrison-Hunte,Lee Hunter,Will Lee III,Zakee Wheatley
2026001,0,228,RUSH,(11:07) Z.Knight left guard to AZ 37 for 3 yards (L.Ransom; T.Wallace).,https://pro.nfl.com/api/plays/summaryPlay?gameId=c66cf251-5f68-11f1-b1d0-bb70a4640075&playId=228,1,1,10,11:07,66.0,False,False,3800,0,0,-0.2113274394068867,11,1,1,3,5,11,3,3,5,Simi Fehoko,Bam Knight,Jon Gaines II,Jalen Brooks,Xavier Weaver,Hayden Conner,Rivaldo Fairweather,Josh Fryar,Chase Bisontis,Carson Beck,Jayden Williams,Trevis Gipson,Akayleb Evans,Claudin Cherelus,Trevin Wallace,Chau Smith-Wade,Princely Umanmielen,Lathan Ransom,Jared Harrison-Hunte,Lee Hunter,Will Lee III,Zakee Wheatley
